step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,snr_diag_median,snr_offdiag_median,spearman_absC_snr,rho_sigma_absmed,rho_frame_absmed
25,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0001888221740955487,2.8960468769073486,0.0007384198252111673,0.3109799325466156,0.0007340521551668644,0.17800039052963257,0.26417863368988037,0.007907876744866371,0.5335937142372131,1.535835862159729,0.00020863843383267522,178.40248107910156,3.6395545066625345e-06,0.00018640555208548903,7.75285079726018e-05,0.22491472959518433,0.2670241594314575,0.008028549142181873,0.5219501852989197,1.5295027494430542,0.057725418359041214,0.05567310005426407,0.8764449954032898,0.3646739721298218,0.38743501901626587
25,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.001476481556892395,3.749849557876587,-9.806994057726115e-06,0.23037612438201904,0.0027191266417503357,0.14888238906860352,0.27835726737976074,0.03134448081254959,0.6992043852806091,1.3205242156982422,0.0008778393967077136,88.32759094238281,4.9056659918278456e-05,7.45339784771204e-05,8.138919656630605e-05,0.2025517076253891,0.2811111509799957,0.008877303451299667,0.5668080449104309,1.4248377084732056,,,,,
25,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0009201094508171082,1.863895058631897,0.00012861100549343973,0.4389868974685669,0.00039569076034240425,0.13938476145267487,0.25392693281173706,0.003970497753471136,0.7335072159767151,1.4731234312057495,0.0009585073566995561,46.79292678833008,3.0332130336319096e-05,8.116598473861814e-05,7.825073407730088e-05,0.23136886954307556,0.2575205862522125,0.007348291110247374,0.5207544565200806,1.4843965768814087,,,,,
25,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.00022000381432007998,1.914957046508789,4.313134922995232e-05,0.7465832829475403,2.795556611090433e-05,0.14033359289169312,0.3740496039390564,0.009967911057174206,0.5517610311508179,1.4361785650253296,0.0004796503344550729,73.49919891357422,1.132117449742509e-05,0.00015983037883415818,4.7096247726585716e-05,0.18505801260471344,0.3113235533237457,0.00710054999217391,0.6039175391197205,1.5199851989746094,,,,,
25,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0001254842063644901,2.9343199729919434,0.00010470484994584695,0.34066689014434814,0.0005152281955815852,0.20472872257232666,0.24677960574626923,0.004620946943759918,0.4580961763858795,1.546354055404663,0.00021547573851421475,244.60525512695312,1.4472992916125804e-05,0.00016858321032486856,6.197047332534567e-05,0.2189188003540039,0.2707936763763428,0.008232912980020046,0.5104823112487793,1.524780511856079,0.06313261389732361,0.05926457792520523,0.8776242136955261,,
25,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009358098614029586,4.223453521728516,-1.648223701522511e-06,0.2765103578567505,7.207172166090459e-05,0.2518605589866638,0.23704499006271362,0.005046510137617588,0.5570202469825745,1.464516282081604,0.0008223400800488889,56.10099792480469,-2.2078795154811814e-05,6.78270444041118e-05,7.881523197283968e-05,0.19535529613494873,0.2964339852333069,0.006972803268581629,0.5849656462669373,1.463549256324768,,,,,
25,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.000873416371177882,1.7618647813796997,-0.0018361951224505901,0.2926475703716278,0.000221482157940045,0.18248558044433594,0.2594565451145172,0.0045499373227357864,0.6522972583770752,1.45075261592865,0.0009504076442681253,85.5870132446289,1.020253785100067e-05,5.9352340031182393e-05,6.741416291333735e-05,0.2275705486536026,0.26313671469688416,0.006655554287135601,0.5201115012168884,1.4507604837417603,,,,0.31143075227737427,0.340094655752182
25,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.00039260840276256204,1.7658733129501343,-0.0006134224240668118,0.5284249186515808,2.8091240892536007e-05,0.0901792049407959,0.4234408736228943,0.01474252250045538,0.5475794076919556,1.4417744874954224,0.0005118637345731258,84.91865539550781,1.4476085198111832e-05,0.0001278746931347996,6.313680933089927e-05,0.19160771369934082,0.30555808544158936,0.007952285930514336,0.5846698880195618,1.5125340223312378,,,,,
25,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00014892593026161194,3.3161213397979736,0.0006369707407429814,0.19215136766433716,0.00019146394333802164,0.2207116335630417,0.24038277566432953,0.0069355433806777,0.4318503439426422,1.5309298038482666,0.00021667988039553165,231.7432861328125,1.3361152923607733e-05,0.00016631121980026364,7.250376074807718e-05,0.21667295694351196,0.2738145887851715,0.008846038021147251,0.5164101123809814,1.525338888168335,0.06085610017180443,0.0691165030002594,0.8681325912475586,,
25,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009144518407993019,3.475322961807251,4.773722253048618e-07,0.1985347419977188,0.0002055157528957352,0.23832443356513977,0.23911996185779572,0.01003657840192318,0.5864791870117188,1.3669904470443726,0.0009556540753692389,82.53482055664062,5.979188244964462e-06,7.1757058321964e-05,6.986560038058087e-05,0.2028966248035431,0.2819269299507141,0.008102180436253548,0.5678166747093201,1.4497231245040894,,,,,
25,model.layers.19.self_attn.v_proj.weight,512,1024,0.0009765625,0.0006595234153792262,1.5875580310821533,-0.00022040543262846768,0.16547919809818268,0.00019431726832408458,0.1363942176103592,0.26192620396614075,0.0026737169828265905,0.682035505771637,1.4523283243179321,0.0009807514725252986,79.41988372802734,7.952474334160797e-06,5.5813827202655375e-05,5.982890070299618e-05,0.2072393149137497,0.28233858942985535,0.00961229670792818,0.5273303389549255,1.433780550956726,,,,,
25,model.layers.19.self_attn.o_proj.weight,1024,2048,0.00048828125,0.00035400933120399714,1.4020237922668457,-6.833386578364298e-05,0.33253687620162964,7.402268965961412e-05,0.05869215354323387,0.5066567659378052,0.01295547466725111,0.6096518635749817,1.4599207639694214,0.00047051298315636814,121.58060455322266,-2.6041013825306436e-06,0.00011105521844001487,7.146770803956315e-05,0.20976877212524414,0.2825455665588379,0.009120676666498184,0.5394895076751709,1.4843111038208008,,,,,
